index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
1225,三里河三区,西城 月坛 二至三环,728,万,141086,元/平米,1973年建/板楼,2室1厅1厨1卫,底层 (共5层),51.6㎡,北 南,简装,一梯三户,无,70年
1226,白广路,西城 牛街 二环内,600,万,90827,元/平米,1965年建/板楼,2室0厅1厨1卫,顶层 (共4层),66.06㎡,南,其他,一梯四户,暂无数据,未知
1227,虎坊路小区,西城 陶然亭 二环内,698,万,103163,元/平米,1958年建/板楼,3室1厅1厨1卫,中楼层 (共4层),67.66㎡,南 北,简装,一梯三户,无,70年
1228,信建里小区,西城 右安门内 二环内,860,万,104560,元/平米,2000年建/板楼,2室1厅1厨1卫,中楼层 (共6层),82.25㎡,南 北,简装,一梯两户,无,70年
1229,裕中西里,西城 马甸 三至四环,670,万,161836,元/平米,1991年建/塔楼,1室1厅1厨1卫,底层 (共20层),41.4㎡,东南,简装,两梯七户,有,70年
1230,百万庄13号院,西城 阜成门 二至三环,770,万,110000,元/平米,1998年建/板塔结合,1室1厅1厨2卫,中楼层 (共10层),70㎡,南 北,简装,两梯两户,有,70年
1231,禄长街二条,西城 陶然亭 二环内,560,万,96138,元/平米,1987年建/板楼,2室1厅1厨1卫,高楼层 (共6层),58.25㎡,南 北,精装,一梯三户,无,70年
1232,小红庙,西城 广安门 二至三环,490,万,91504,元/平米,1986年建/板楼,2室1厅1厨1卫,底层 (共6层),53.55㎡,东 西,简装,一梯两户,无,70年
1233,天桥北里,西城 陶然亭 二环内,665,万,84124,元/平米,2002年建/塔楼,2室1厅1厨1卫,中楼层 (共12层),79.05㎡,西南,精装,四梯十九户,有,70年
1234,青春无限,西城 牛街 二环内,498,万,73789,元/平米,2004年建/塔楼,1室1厅1厨1卫,中楼层 (共22层),67.49㎡,北,精装,三梯十九户,有,70年
1235,考拉社区,西城 菜户营 二至三环,485,万,79731,元/平米,2006年建/塔楼,1室1厅1厨1卫,低楼层 (共21层),60.83㎡,西,精装,四梯十七户,有,70年
1236,永居东里,西城 天宁寺 二至三环,441,万,88590,元/平米,1976年建/板楼,2室1厅1厨1卫,高楼层 (共6层),49.78㎡,东 西,简装,一梯三户,无,70年
1237,新德街20号,西城 德胜门 二至三环,920,万,130128,元/平米,1985年建/塔楼,2室1厅1厨1卫,中楼层 (共19层),70.7㎡,南,精装,两梯五户,有,70年
1238,依莲轩,西城 马连道 二至三环,810,万,83463,元/平米,2001年建/塔楼,2室1厅1厨1卫,中楼层 (共24层),97.05㎡,东 南,精装,两梯八户,有,70年
1239,国电中兴家园,西城 月坛 二至三环,1250,万,117592,元/平米,1999年建/塔楼,3室1厅1厨1卫,低楼层 (共18层),106.3㎡,东 西南,精装,两梯八户,有,70年
1240,马连道中里,西城 马连道 二至三环,500,万,85529,元/平米,1996年建/板楼,1室1厅1厨1卫,高楼层 (共12层),58.46㎡,南 北,简装,两梯二十二户,有,70年
1241,德胜里二区,西城 德胜门 二至三环,1699,万,148087,元/平米,2011年建/板塔结合,3室1厅1厨1卫,中楼层 (共12层),114.73㎡,西南,精装,一梯三户,有,70年
1242,思源胡同28号院,西城 长椿街 二环内,600,万,104530,元/平米,1985年建/板楼,2室1厅1厨1卫,底层 (共6层),57.4㎡,南 北,简装,一梯两户,无,70年
1243,朗琴园,西城 广安门 二至三环,1260,万,113453,元/平米,2004年建/板塔结合,2室1厅1厨2卫,高楼层 (共29层),111.06㎡,南,其他,两梯六户,有,70年
1244,中信禧园,西城 陶然亭 二环内,1360,万,149533,元/平米,2014年建/板塔结合,2室1厅1厨1卫,中楼层 (共20层),90.95㎡,南,其他,两梯三户,有,70年
1245,建邦礼仕阁,西城 月坛 二至三环,1040,万,120093,元/平米,2010年建/板楼,1室1厅1厨1卫,中楼层 (共10层),86.6㎡,西,精装,四梯二十三户,有,70年
1246,前桃园1号,西城 西直门 二环内,588,万,129516,元/平米,1990年建/板楼,1室1厅1厨1卫,顶层 (共6层),45.4㎡,南 北,简装,一梯两户,无,70年
1247,荣丰2008,西城 广安门 二至三环,443,万,93068,元/平米,2007年建/塔楼,1室1厅1厨1卫,低楼层 (共16层),47.6㎡,西,精装,三梯二十五户,有,70年
1248,德胜置业,西城 六铺炕 二至三环,960,万,56335,元/平米,2005年建/板楼,2室1厅0厨0卫,中楼层 (共20层),170.41㎡,北,简装,三梯十一户,有,70年
1249,德胜置业,西城 六铺炕 二至三环,750,万,81029,元/平米,2005年建/板楼,1室0厅0厨0卫,中楼层 (共16层),92.56㎡,北,简装,三梯九户,有,70年
1250,北欧印象,西城 马连道 二至三环,440,万,86666,元/平米,2003年建/塔楼,1室0厅1厨1卫,低楼层 (共28层),50.77㎡,西,简装,三梯十七户,有,70年
1251,新外大街6号院,西城 马甸 二至三环,946,万,126980,元/平米,1998年建/板楼,2室1厅1厨1卫,低楼层 (共6层),74.5㎡,东 西,精装,一梯三户,无,70年
1252,华龙美钰,西城 右安门内 二环内,950,万,104408,元/平米,2011年建/板塔结合,2室1厅1厨1卫,低楼层 (共21层),90.99㎡,南,精装,两梯六户,有,70年
1253,远见名苑,西城 广安门 二至三环,760,万,96118,元/平米,2007年建/塔楼,2室1厅1厨1卫,高楼层 (共28层),79.07㎡,东,精装,两梯六户,有,70年
1254,五路通北街,西城 六铺炕 二至三环,730,万,109119,元/平米,1964年建/板楼,2室1厅1厨1卫,底层 (共4层),66.9㎡,南 北,简装,一梯三户,无,70年
1255,红莲南里,西城 马连道 二至三环,580,万,90796,元/平米,1992年建/板楼,2室1厅1厨1卫,高楼层 (共7层),63.88㎡,南 北,精装,一梯两户,无,70年
1256,万明园,西城 月坛 二至三环,605,万,105401,元/平米,1992年建/板楼,1室1厅1厨1卫,顶层 (共6层),57.4㎡,南 北,精装,一梯三户,无,70年
1257,罗贤胡同,西城 西单 二环内,760,万,123578,元/平米,1984年建/板楼,2室1厅1厨1卫,高楼层 (共6层),61.5㎡,南 北,毛坯,一梯两户,无,70年
1258,新风北街,西城 马甸 二至三环,680,万,128788,元/平米,1995年建/板楼,2室1厅1厨1卫,地下室 (共6层),52.8㎡,东 西,精装,一梯三户,无,70年
1259,宣武门西大街,西城 金融街 二环内,599,万,94779,元/平米,1979年建/塔楼,2室1厅1厨1卫,低楼层 (共14层),63.2㎡,西北,简装,一梯八户,有,70年
1260,天桥南里,西城 陶然亭 二环内,679,万,95918,元/平米,2002年建/板楼,2室1厅1厨1卫,中楼层 (共7层),70.79㎡,南 北,简装,一梯两户,无,70年
1261,新风街,西城 马甸 二至三环,960,万,144797,元/平米,1990年建/塔楼,2室1厅1厨1卫,高楼层 (共16层),66.3㎡,东南,精装,两梯八户,有,70年
1262,三里河一区2号院,西城 月坛 二至三环,975,万,140896,元/平米,1998年建/塔楼,2室1厅1厨1卫,中楼层 (共10层),69.2㎡,东 西,简装,一梯两户,有,70年
1263,春风胡同社区,西城 牛街 二环内,1060,万,86214,元/平米,2004年建/板楼,3室2厅1厨2卫,顶层 (共6层),122.95㎡,东 西,简装,一梯两户,无,70年
1264,红莲南里,西城 马连道 二至三环,470,万,92611,元/平米,1987年建/板楼,2室1厅1厨1卫,顶层 (共6层),50.75㎡,南,简装,一梯三户,无,70年
1265,红莲晴园,西城 马连道 二至三环,555,万,87046,元/平米,2000年建/塔楼,1室1厅1厨1卫,低楼层 (共18层),63.76㎡,东,简装,两梯八户,有,70年
1266,槐柏树街南里,西城 长椿街 二环内,530,万,86193,元/平米,1992年建/板楼,2室1厅1厨1卫,高楼层 (共6层),61.49㎡,西 北,简装,一梯两户,无,70年
1267,远见国际公寓,西城 广安门 二至三环,615,万,87732,元/平米,2008年建/塔楼,1室1厅1厨1卫,中楼层 (共26层),70.1㎡,南,其他,四梯十九户,有,70年
1268,阜成门南大街,西城 月坛 二至三环,650,万,112652,元/平米,1992年建/塔楼,2室1厅1厨1卫,低楼层 (共20层),57.7㎡,东,精装,两梯十户,有,70年
1269,丽水莲花,西城 广安门 二至三环,610,万,91209,元/平米,2007年建/塔楼,1室1厅1厨1卫,中楼层 (共28层),66.88㎡,西,简装,三梯十二户,有,70年
1270,右安门内大街,西城 牛街 二环内,590,万,101918,元/平米,1984年建/板楼,2室1厅1厨1卫,高楼层 (共6层),57.89㎡,东 西,简装,一梯三户,无,70年
1271,牛街东里,西城 牛街 二环内,560,万,89343,元/平米,1999年建/塔楼,2室1厅1厨1卫,顶层 (共19层),62.68㎡,东南,精装,三梯十二户,有,70年
1272,盆儿胡同61号院,西城 牛街 二环内,815,万,91790,元/平米,1994年建/板楼,3室1厅1厨1卫,顶层 (共6层),88.79㎡,西北,简装,一梯三户,暂无数据,70年
1273,太平里,西城 马连道 二至三环,495,万,86283,元/平米,1998年建/板楼,2室1厅1厨1卫,中楼层 (共7层),57.37㎡,东北,精装,一梯三户,无,70年
1274,天桥南里,西城 陶然亭 二环内,690,万,97472,元/平米,2002年建/板楼,2室1厅1厨1卫,中楼层 (共7层),70.79㎡,南 北,精装,一梯两户,无,70年
1275,太平街20号旁门,西城 陶然亭 二环内,698,万,110882,元/平米,1991年建/板楼,2室1厅1厨1卫,中楼层 (共6层),62.95㎡,东 西,毛坯,一梯三户,无,70年
1276,三里河三区,西城 月坛 二至三环,798,万,117526,元/平米,1960年建/板楼,2室1厅1厨1卫,顶层 (共4层),67.9㎡,南,简装,一梯五户,无,70年
1277,北广家园,西城 六铺炕 二至三环,910,万,134001,元/平米,2005年建/板塔结合,2室1厅1厨1卫,中楼层 (共16层),67.91㎡,西,精装,两梯十一户,有,70年
1278,畅柳园,西城 陶然亭 二环内,660,万,100472,元/平米,2004年建/板塔结合,2室1厅1厨1卫,中楼层 (共14层),65.69㎡,南 北,简装,一梯两户,有,70年
1279,裕中西里,西城 马甸 三至四环,835,万,137562,元/平米,1992年建/板楼,2室1厅1厨1卫,高楼层 (共6层),60.7㎡,东 西,简装,一梯三户,无,70年
1280,六铺炕二区,西城 六铺炕 二至三环,836,万,149821,元/平米,1982年建/板楼,2室1厅1厨1卫,中楼层 (共6层),55.8㎡,南 北,简装,一梯三户,无,70年
1281,人定湖西里,西城 六铺炕 二至三环,822,万,144974,元/平米,1980年建/板楼,2室1厅1厨1卫,低楼层 (共6层),56.7㎡,南 北,简装,一梯两户,无,70年
1282,华裕园小区,西城 西四 二环内,1064,万,160000,元/平米,2000年建/板楼,2室1厅1厨1卫,中楼层 (共7层),66.5㎡,南 北,简装,一梯两户,无,70年
1283,西直门南大街,西城 官园 二环内,750,万,119048,元/平米,1986年建/塔楼,2室1厅1厨1卫,中楼层 (共16层),63㎡,东北,简装,两梯七户,有,70年
1284,新外大街甲8号院,西城 马甸 二至三环,1460,万,139981,元/平米,1987年建/板楼,4室1厅1厨1卫,底层 (共6层),104.3㎡,南 北,简装,一梯两户,无,70年
1285,椿树馆街,西城 天宁寺 二至三环,549,万,112110,元/平米,1978年建/板楼,2室1厅1厨1卫,中楼层 (共5层),48.97㎡,东 西 北,精装,一梯一户,暂无数据,70年
1286,枣林前街,西城 牛街 二环内,470,万,85038,元/平米,1979年建/板楼,2室1厅1厨1卫,中楼层 (共6层),55.27㎡,东北,简装,一梯九户,无,70年
1287,姚家井二巷,西城 陶然亭 二环内,675,万,133268,元/平米,1991年建/板楼,2室1厅1厨1卫,高楼层 (共6层),50.65㎡,南,其他,一梯三户,无,70年
1288,新文化街,西城 金融街 二环内,970,万,159803,元/平米,1979年建/板楼,3室1厅1厨1卫,中楼层 (共5层),60.7㎡,南 北,简装,一梯三户,无,70年
1289,教场口9号院,西城 六铺炕 二至三环,1373.6,万,160000,元/平米,2003年建/塔楼,3室1厅1厨1卫,低楼层 (共21层),85.85㎡,西北,精装,三梯十二户,有,70年
1290,西便门内大街97号院,西城 长椿街 二环内,585,万,104483,元/平米,1992年建/板楼,2室1厅1厨1卫,高楼层 (共6层),55.99㎡,南 北,简装,一梯三户,无,70年
1291,法源寺西里小区,西城 牛街 二环内,1000,万,81361,元/平米,1998年建/板塔结合,3室2厅1厨2卫,高楼层 (共9层),122.91㎡,南 北,简装,一梯四户,有,70年
1292,蝶翠华庭,西城 广安门 二至三环,1170,万,92542,元/平米,2004年建/塔楼,3室2厅1厨2卫,顶层 (共29层),126.43㎡,东南 西北,精装,四梯十户,有,70年
1293,茗筑,西城 马连道 二至三环,850,万,77273,元/平米,2008年建/塔楼,2室1厅1厨1卫,低楼层 (共27层),110㎡,西南,精装,三梯九户,有,70年
1294,乐城,西城 菜户营 二至三环,420,万,97494,元/平米,2004年建/塔楼,1室0厅1厨1卫,顶层 (共24层),43.08㎡,北,精装,三梯十三户,有,70年
1295,丽水莲花,西城 广安门 二至三环,755,万,106010,元/平米,2009年建/板塔结合,1室1厅1厨1卫,高楼层 (共26层),71.22㎡,南,精装,两梯八户,有,70年
1296,建功北里,西城 白纸坊 二环内,660,万,77693,元/平米,1996年建/板楼,3室1厅1厨1卫,中楼层 (共6层),84.95㎡,东 西,简装,一梯两户,无,70年
1297,六铺炕二区,西城 六铺炕 二至三环,908,万,138626,元/平米,1981年建/板楼,2室1厅1厨1卫,顶层 (共6层),65.5㎡,南 西,简装,一梯两户,无,70年
1298,瑞莲家园,西城 马连道 二至三环,1200,万,85185,元/平米,2001年建/板楼,3室2厅1厨2卫,中楼层 (共6层),140.87㎡,南 北,简装,一梯两户,无,70年
1299,荣丰2008,西城 广安门 二至三环,475,万,137562,元/平米,2004年建/塔楼,1室1厅1厨1卫,中楼层 (共20层),34.53㎡,西南,简装,四梯三十三户,有,70年
1300,牛街18,西城 牛街 二环内,425,万,101023,元/平米,2005年建/塔楼,1室0厅1厨1卫,高楼层 (共24层),42.07㎡,西,简装,三梯十六户,有,70年
1301,鼓楼西大街,西城 六铺炕 二环内,1120,万,140000,元/平米,1983年建/板楼,3室1厅1厨1卫,中楼层 (共5层),80㎡,南 北,其他,一梯三户,无,70年
1302,莲花池东路24号院,西城 广安门 二至三环,950,万,108238,元/平米,1999年建/板楼,2室2厅1厨1卫,顶层 (共6层),87.77㎡,南 北,精装,一梯两户,无,70年
1303,法源寺西里小区,西城 牛街 二环内,760,万,88889,元/平米,1998年建/板楼,3室1厅1厨1卫,顶层 (共6层),85.5㎡,南 北,精装,一梯三户,无,70年
1304,马甸南村,西城 马甸 二至三环,1200,万,152285,元/平米,1992年建/板楼,2室1厅1厨1卫,顶层 (共6层),78.8㎡,南 北,精装,一梯两户,无,70年
1305,四平园,西城 陶然亭 二环内,848,万,125204,元/平米,1996年建/板楼,2室1厅1厨1卫,低楼层 (共6层),67.73㎡,西,简装,一梯三户,无,70年
1306,盆儿胡同62号院,西城 牛街 二环内,775,万,105171,元/平米,1990年建/板楼,2室1厅1厨1卫,中楼层 (共16层),73.69㎡,南 北,其他,一梯六户,有,70年
1307,复兴门外大街,西城 木樨地 二至三环,870,万,122899,元/平米,1983年建/塔楼,2室1厅1厨1卫,中楼层 (共16层),70.79㎡,南,其他,两梯八户,有,70年
1308,三里河北街5号院,西城 月坛 二至三环,789,万,140143,元/平米,1991年建/塔楼,2室1厅1厨1卫,高楼层 (共18层),56.3㎡,西北,其他,四梯十一户,有,70年
1309,安德路,西城 六铺炕 二至三环,820,万,131833,元/平米,1985年建/板楼,2室1厅1厨1卫,高楼层 (共6层),62.2㎡,南 北,其他,一梯两户,无,70年
1310,航空胡同11号院,西城 西四 二环内,1100,万,141207,元/平米,1984年建/板楼,3室1厅1厨1卫,顶层 (共5层),77.9㎡,南,其他,一梯三户,暂无数据,70年
1311,黄寺大街24号院,西城 六铺炕 二至三环,830,万,165010,元/平米,1981年建/板楼,2室1厅1厨1卫,顶层 (共5层),50.3㎡,南,其他,一梯三户,无,70年
1312,红莲中里,西城 马连道 二至三环,348,万,130533,元/平米,1992年建/板楼,1室1厅1厨1卫,低楼层 (共6层),26.66㎡,南,其他,一梯四户,无,70年
1313,新外大街乙8号院,西城 马甸 二至三环,1688,万,165264,元/平米,2002年建/板楼,3室1厅1厨1卫,底层 (共7层),102.14㎡,北 南,其他,一梯两户,无,70年
1314,北广家园,西城 六铺炕 二至三环,850,万,149727,元/平米,2005年建/板塔结合,1室1厅1厨1卫,中楼层 (共17层),56.77㎡,南,其他,一梯四户,有,70年
1315,红莲中里,西城 马连道 二至三环,518,万,94561,元/平米,1988年建/塔楼,2室1厅1厨1卫,高楼层 (共16层),54.78㎡,东北,精装,两梯九户,有,70年
1316,红土店南里,西城 陶然亭 二环内,575,万,156847,元/平米,1979年建/板楼,1室1厅1厨1卫,中楼层 (共5层),36.66㎡,南,其他,一梯三户,无,70年
1317,三里河东路7号院,西城 月坛 二至三环,540,万,94406,元/平米,1992年建/板楼,2室1厅1厨1卫,地下室 (共6层),57.2㎡,南 北,精装,一梯三户,无,70年
1318,太平桥大街,西城 金融街 二环内,1000,万,123763,元/平米,1989年建/板塔结合,3室1厅1厨1卫,低楼层 (共16层),80.8㎡,东 西,简装,两梯八户,有,70年
1319,马连道路甲18号院,西城 马连道 二至三环,660,万,90772,元/平米,1995年建/板楼,3室1厅1厨1卫,中楼层 (共6层),72.71㎡,南 北,其他,一梯三户,无,70年
1320,裕中西里,西城 马甸 三至四环,900,万,140846,元/平米,1990年建/塔楼,2室1厅1厨1卫,底层 (共20层),63.9㎡,东南,精装,两梯七户,有,70年
1321,西便门西里,西城 木樨地 二至三环,820,万,101435,元/平米,1991年建/板塔结合,3室1厅1厨1卫,高楼层 (共14层),80.84㎡,东 西,精装,一梯六户,有,70年
1322,长安兴融中心,西城 金融街 二环内,2700,万,92479,元/平米,2005年建/板塔结合,4室2厅1厨3卫,中楼层 (共14层),291.96㎡,南 西 北,其他,六梯十九户,有,70年
1323,大井胡同,西城 六铺炕 二至三环,776,万,134257,元/平米,1984年建/板楼,2室1厅1厨1卫,低楼层 (共6层),57.8㎡,南 北,简装,一梯两户,无,70年
1324,三里河北街3号院,西城 月坛 二至三环,1238,万,135895,元/平米,1991年建/塔楼,3室1厅1厨1卫,低楼层 (共18层),91.1㎡,东南,精装,四梯八户,有,70年
1325,西黄城根南街一区,西城 西单 二环内,1128.5,万,149868,元/平米,1990年建/板楼,3室1厅1厨1卫,高楼层 (共6层),75.3㎡,南 北,其他,一梯三户,无,70年
1326,真武庙三里,西城 木樨地 二至三环,850,万,116599,元/平米,1979年建/板楼,3室1厅1厨1卫,低楼层 (共6层),72.9㎡,东南,其他,一梯五户,无,70年
1327,爱民里小区,西城 西四 二环内,604.5,万,136765,元/平米,1990年建/板楼,1室1厅1厨1卫,底层 (共7层),44.2㎡,东 西,简装,一梯六户,无,70年
1328,新风南里,西城 马甸 二至三环,1049,万,142141,元/平米,1997年建/板楼,2室1厅1厨1卫,中楼层 (共6层),73.8㎡,南 北,精装,一梯两户,无,70年
1329,六铺炕二区,西城 六铺炕 二至三环,1320,万,133065,元/平米,1994年建/板塔结合,3室1厅1厨1卫,高楼层 (共15层),99.2㎡,东北,精装,两梯七户,有,70年
1330,一瓶,西城 陶然亭 二环内,1220,万,100844,元/平米,2008年建/板塔结合,2室1厅1厨1卫,中楼层 (共13层),120.98㎡,北,简装,一梯四户,有,70年
1331,白云观,西城 木樨地 二至三环,995,万,122236,元/平米,1991年建/板楼,3室1厅1厨1卫,中楼层 (共6层),81.4㎡,南 北,精装,一梯两户,无,70年
1332,官苑8号,西城 官园 二环内,2500,万,151516,元/平米,2007年建/板塔结合,3室2厅1厨2卫,底层 (共16层),165㎡,南 北,精装,一梯两户,有,70年
1333,白云观,西城 木樨地 二至三环,1120,万,125420,元/平米,1992年建/板楼,3室1厅1厨1卫,低楼层 (共11层),89.3㎡,东 西,简装,两梯九户,有,70年
1334,椿树园,西城 宣武门 二环内,1150,万,120268,元/平米,1998年建/塔楼,3室1厅1厨1卫,高楼层 (共17层),95.62㎡,南 西,简装,两梯六户,有,70年
1335,椿树园,西城 宣武门 二环内,1115,万,125029,元/平米,1998年建/塔楼,2室1厅1厨1卫,高楼层 (共17层),89.18㎡,西北,其他,两梯六户,有,70年
1336,裕中西里,西城 马甸 三至四环,783,万,134306,元/平米,1983年建/板楼,2室1厅1厨1卫,顶层 (共6层),58.3㎡,南 北,简装,一梯三户,无,70年
1337,新街口西里三区,西城 新街口 二环内,720,万,118597,元/平米,2003年建/板楼,2室1厅1厨1卫,底层 (共6层),60.71㎡,东,其他,一梯四户,无,70年
1338,畅柳园,西城 陶然亭 二环内,785,万,106484,元/平米,2003年建/板塔结合,2室1厅1厨1卫,低楼层 (共14层),73.72㎡,南 北,简装,一梯两户,有,70年
1339,庄胜二期,西城 宣武门 二环内,1335,万,127862,元/平米,2004年建/板塔结合,2室1厅1厨2卫,底层 (共10层),104.41㎡,西北,其他,两梯四户,有,70年
1340,朱雀门,西城 陶然亭 二环内,3500,万,128469,元/平米,2006年建/板楼,4室2厅1厨3卫,顶层 (共6层),272.44㎡,南 北,精装,一梯两户,有,70年
1341,东新开胡同,西城 新街口 二环内,806,万,130000,元/平米,1990年建/板塔结合,2室1厅1厨1卫,中楼层 (共11层),62㎡,南,简装,两梯六户,有,70年
1342,畅柳园,西城 陶然亭 二环内,805,万,109197,元/平米,2003年建/板塔结合,2室1厅1厨1卫,低楼层 (共14层),73.72㎡,南 北,精装,一梯两户,有,70年
1343,国电中兴家园,西城 月坛 二至三环,1080,万,101600,元/平米,1999年建/塔楼,3室1厅1厨1卫,低楼层 (共18层),106.3㎡,西南,简装,两梯八户,有,70年
1344,月坛南街2号院,西城 月坛 二至三环,675,万,113828,元/平米,1978年建/板楼,2室1厅1厨1卫,底层 (共6层),59.3㎡,东 西,其他,一梯三户,暂无数据,70年
1345,百万庄中里,西城 阜成门 二至三环,706,万,113341,元/平米,1975年建/板楼,2室1厅1厨1卫,中楼层 (共4层),62.29㎡,南,简装,一梯三户,无,70年
1346,玉桃园三区,西城 西直门 二环内,960,万,107624,元/平米,1998年建/板楼,3室1厅1厨2卫,顶层 (共6层),89.2㎡,东 西,精装,一梯两户,无,70年
1347,新街口西里三区,西城 新街口 二环内,610,万,78326,元/平米,2003年建/板楼,3室1厅1厨2卫,地下室 (共6层),77.88㎡,南 北,其他,一梯四户,无,70年
1348,三里河东路7号院,西城 月坛 二至三环,699,万,135204,元/平米,1992年建/板楼,1室1厅1厨1卫,顶层 (共6层),51.7㎡,南,简装,一梯三户,无,70年
1349,椿树园,西城 宣武门 二环内,1380,万,113656,元/平米,1998年建/塔楼,3室2厅1厨2卫,高楼层 (共17层),121.42㎡,东北 南,精装,两梯六户,有,70年
1350,刘兰塑,西城 西四 二环内,799,万,116728,元/平米,1989年建/板楼,3室1厅1厨1卫,地下室 (共4层),68.45㎡,南 北,简装,一梯两户,无,70年
1351,广外南街50号院,西城 天宁寺 二至三环,990,万,92179,元/平米,1999年建/塔楼,3室1厅1厨1卫,中楼层 (共22层),107.4㎡,东南,其他,两梯六户,有,70年
1352,白广路6号院,西城 牛街 二环内,830,万,90681,元/平米,1999年建/板塔结合,2室1厅1厨1卫,高楼层 (共12层),91.53㎡,东 西,简装,两梯三户,有,70年
1353,法源寺西里小区,西城 牛街 二环内,990,万,82466,元/平米,1998年建/板塔结合,3室1厅1厨2卫,中楼层 (共9层),120.05㎡,东 西,其他,一梯两户,无,70年
1354,百万庄2号院,西城 阜成门 二至三环,691,万,100001,元/平米,1962年建/板楼,2室1厅1厨1卫,顶层 (共5层),69.1㎡,南 北,其他,一梯三户,暂无数据,70年
1355,长椿苑,西城 长椿街 二环内,1290,万,94805,元/平米,1998年建/板塔结合,3室1厅1厨1卫,低楼层 (共14层),136.07㎡,东 西,简装,四梯十二户,有,70年
1356,熔炼厂宿舍,西城 广安门 二至三环,635,万,79985,元/平米,1980年建/塔楼,3室1厅1厨1卫,高楼层 (共6层),79.39㎡,东南,简装,一梯六户,无,70年
1357,信恒大厦,西城 牛街 二环内,560,万,81586,元/平米,2003年建/塔楼,1室1厅1厨1卫,低楼层 (共25层),68.64㎡,东北,简装,两梯十一户,有,70年
1358,华裕园小区,西城 西四 二环内,920,万,160000,元/平米,2000年建/板楼,1室1厅1厨1卫,中楼层 (共7层),57.5㎡,南 北,其他,一梯三户,无,70年
1359,瑞莲家园,西城 马连道 二至三环,785,万,67843,元/平米,2001年建/塔楼,3室1厅1厨1卫,顶层 (共24层),115.71㎡,西北,简装,三梯十户,有,70年
1360,什坊街2号院,西城 六铺炕 二至三环,1120,万,134293,元/平米,1999年建/塔楼,2室1厅1厨1卫,中楼层 (共21层),83.4㎡,西,精装,两梯十户,有,70年
1361,建功北里,西城 白纸坊 二环内,1000,万,81235,元/平米,1998年建/板楼,2室1厅1厨2卫,中楼层 (共14层),123.1㎡,东南,简装,两梯十二户,有,70年
1362,远见名苑,西城 广安门 二至三环,780,万,102862,元/平米,2004年建/塔楼,2室1厅1厨1卫,中楼层 (共26层),75.83㎡,西南 北,精装,三梯十四户,有,70年
1363,政泰家园,西城 菜户营 二至三环,530,万,69921,元/平米,2004年建/塔楼,2室1厅1厨1卫,中楼层 (共22层),75.8㎡,西,简装,两梯十户,有,70年
1364,北礼士路,西城 官园 二至三环,1100,万,129871,元/平米,1994年建/板楼,3室1厅1厨1卫,低楼层 (共12层),84.7㎡,南 北,精装,两梯两户,有,70年
1365,荣丰2008,西城 广安门 二至三环,480,万,134341,元/平米,2005年建/塔楼,1室1厅1厨1卫,中楼层 (共10层),35.73㎡,南,精装,三梯三十九户,有,70年
1366,国英一号,西城 官园 二环内,770,万,69470,元/平米,2000年建/板塔结合,2室1厅1厨1卫,中楼层 (共14层),110.84㎡,东,简装,五梯三十五户,有,70年
1367,国英一号,西城 官园 二环内,770,万,69457,元/平米,2000年建/板塔结合,2室1厅1厨1卫,中楼层 (共14层),110.86㎡,东,简装,五梯三十五户,有,70年
1368,新壁街,西城 西单 二环内,1150,万,136596,元/平米,2004年建/板楼,3室1厅1厨2卫,中楼层 (共6层),84.19㎡,东,精装,一梯三户,无,70年
1369,荣丰2008,西城 广安门 二至三环,560,万,157481,元/平米,2007年建/塔楼,1室1厅1厨2卫,中楼层 (共16层),35.56㎡,南,精装,三梯三十户,有,70年
1370,南华东街,西城 陶然亭 二环内,850,万,105030,元/平米,1964年建/板楼,3室1厅1厨1卫,底层 (共5层),80.93㎡,南 北,其他,一梯三户,无,70年
1371,裕中西里,西城 马甸 三至四环,870,万,139872,元/平米,1990年建/塔楼,2室1厅1厨1卫,中楼层 (共20层),62.2㎡,东南 西北,其他,两梯七户,有,70年
1372,广安门外南街,西城 天宁寺 二至三环,680,万,88370,元/平米,1998年建/板塔结合,2室1厅1厨1卫,中楼层 (共14层),76.95㎡,南,其他,两梯十一户,有,70年
1373,北礼士路,西城 官园 二至三环,550,万,128206,元/平米,1982年建/暂无数据,1室1厅1厨1卫,中楼层 (共5层),42.9㎡,南,简装,一梯三户,暂无数据,70年
1374,西直门外南路24号院,西城 车公庄 二至三环,990,万,110123,元/平米,2002年建/塔楼,3室1厅1厨1卫,底层 (共18层),89.9㎡,东 北 南,其他,两梯六户,有,70年
1375,远见名苑,西城 广安门 二至三环,568,万,101465,元/平米,2004年建/塔楼,1室1厅1厨1卫,中楼层 (共26层),55.98㎡,东北,精装,三梯十四户,有,70年
1376,双旗杆东里,西城 马甸 二至三环,858,万,110283,元/平米,1994年建/塔楼,3室1厅1厨1卫,底层 (共18层),77.8㎡,东北,精装,两梯十户,有,70年
1377,清芷园,西城 右安门内 二环内,730,万,97490,元/平米,2003年建/塔楼,1室1厅1厨1卫,中楼层 (共18层),74.88㎡,东北,精装,三梯十二户,有,70年
1378,西城晶华,西城 金融街 二环内,1800,万,159405,元/平米,2008年建/板塔结合,2室1厅1厨1卫,底层 (共11层),112.92㎡,南 北,精装,两梯两户,有,70年
