index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
781,水电部宿舍,西城 月坛 二至三环,1195,万,137357,元/平米,1965年建/板楼,3室1厅1厨1卫,底层 (共5层),87㎡,南 北,精装,一梯三户,无,70年
782,月坛北街甲1号院,西城 月坛 二至三环,1030,万,129560,元/平米,1989年建/塔楼,3室1厅1厨1卫,低楼层 (共21层),79.5㎡,东 南,其他,两梯七户,有,70年
783,北礼士路,西城 官园 二至三环,690,万,112013,元/平米,1998年建/板塔结合,2室1厅1厨1卫,中楼层 (共12层),61.6㎡,西,简装,一梯七户,有,70年
784,小石桥胡同11号院,西城 六铺炕 二环内,1250,万,122670,元/平米,1987年建/板楼,3室1厅1厨1卫,顶层 (共5层),101.9㎡,南 北,精装,一梯两户,无,70年
785,六铺炕一区,西城 六铺炕 二至三环,1210,万,134445,元/平米,1994年建/板楼,3室1厅1厨1卫,高楼层 (共6层),90㎡,东 西,简装,一梯三户,无,70年
786,远见名苑,西城 广安门 二至三环,935,万,80576,元/平米,2007年建/板塔结合,2室2厅1厨2卫,低楼层 (共17层),116.04㎡,东北,精装,两梯四户,有,70年
787,北三环中路12号院,西城 马甸 二至三环,880,万,119566,元/平米,1989年建/板楼,2室1厅1厨1卫,中楼层 (共12层),73.6㎡,南 北,精装,一梯两户,有,70年
788,三里河二区,西城 月坛 二至三环,1380,万,122776,元/平米,1959年建/板楼,4室1厅1厨1卫,中楼层 (共4层),112.4㎡,南 北,简装,一梯两户,无,70年
789,远见名苑,西城 广安门 二至三环,999,万,86092,元/平米,2007年建/板塔结合,2室2厅1厨2卫,中楼层 (共17层),116.04㎡,西北,精装,两梯四户,有,70年
790,远见名苑,西城 广安门 二至三环,440,万,98655,元/平米,2004年建/塔楼,1室0厅1厨1卫,高楼层 (共26层),44.6㎡,西,精装,三梯十四户,有,70年
